Type,Title,Abstract,Authors,Keywords,DOI,Publication Date,Pages
inproceedings,Artificial Intelligence Model to Predict the Virality of Press Articles,"Currently, many people share news, links, or videos, without being aware of the impact they can have on people's decisions or ways of acting. A clear example, recently experienced in Colombia, corresponds to the national strike which happened at the time of this research. Due to these unexpected circumstances, colombians experienced the influence news have on decision making that can affect the country, not only economically but politically, and socially. It showed how news can generate fear in people, or even misinform, as is the case of fake news. For these reasons, it is key to determine the relevance a story can have. Predicting the impact, will allow us to pay more attention to those news that can affect people more, avoiding misinformation and fake news. However, the problem is that there is no way of predicting the impact that a press article can have. Therefore, the aim of this work is to implement a machine learning model that allows us to predict, with the best possible accuracy, the virality of online press articles (defining virality as the amount of clicks that an article receives when it is opened). In order to achieve this goal, we followed the CRISP-DM methodology, which focuses on machine learning projects. The best obtained result corresponds to the model where the core of the architecture was based on BERT, a pre-trained model, which, for a pair of press articles headlines, predicted whether the first headline would be more viral than the second one. On the other hand, the evaluation was carried out by comparing the amount of clicks for a pair of articles. For a practitioner point of view, digital marketers can use our results to select the best words for their online marketing campaign. For a theoretical point of view, our results present an innovative natural language processing approach based on one of the best breed of Neural network models (BERT).","L. Lopez, Yesid and Grimaldi, Didier and Garcia, Sebastian and Ordoez, Jonatan and Carrasco-Farre, Carlos and A. Aristizabal, Andres","NLP, BERT, Transformers, LSTM, Virality, News",10.1145/3529836.3529953,2022,8
inproceedings,Application Research of Basketball Physical Training Based on Artificial Intelligence,"The purpose of athletes playing basketball is to shoot and score. Basketball requires athletes to have the ability to quickly change offense and defense, and have strong physical fitness. Basketball is a combination of skills and physical fitness. Athletes who want to use superb skills flexibly in the game must have corresponding physical fitness. Physical fitness is the basic condition for athletes to play for a long time. With the continuous development of basketball, the confrontation intensity in the basketball game is becoming more and more fierce, and the physical fitness requirements of basketball players are getting higher and higher. This article first analyzes the current research status of basketball physical training, then studies the training process and specific characteristics of basketball physical training, and finally designs the experiment. Taking 4 basketball teams from 4 major colleges and universities in a certain city in China as the research object, through the four teams were randomly selected into a control group and an experimental group. The control group used the previous training method, and the experimental group used the new training method. After the experiment, the teams in the experimental group and the control group were tested on physical fitness indicators. The test results showed that the improvement of the experimental group's performance on all indicators was greater than that of the control group.","Liu, Yuanyuan and Wang, Shasha",,10.1145/3482632.3483005,2021,5
inproceedings,Exploring Why Underrepresented Students Are Less Likely to Study Machine Learning and Artificial Intelligence,"There is little research on why underrepresented minorities are less likely to specifically study Machine Learning and Artificial Intelligence (ML/AI). We surveyed 159 undergraduate students about their interest in, exposure to, and personal views on ML/AI in order to explore variations in responses by self-reported gender and race/ethnicity groups. We found that students underrepresented by race/ethnicity are ~6 times less likely to take a traditional ML/AI course than those not underrepresented by race/ethnicity, but no significant difference was found between gender representation. Additionally, students underrepresented by race/ethnicity are more likely to report interest in social, cultural, and political impacts of ML/AI rather than the more technical aspects of ML/AI itself, which is a prevalent interest of students not underrepresented by race/ethnicity. We explore potential reasoning for this difference through further analysis of their survey responses. Encouragingly, we find that regardless of representational status 72.0% of students who report lack of interest in a traditional introductory course are interested in a ML/AI course that focuses more on the political, philosophical, and ethical issues raised by ML/AI and its impacts on society. Our findings suggest that a 'CS Principles"" style introductory ML/AI course, emphasizing social and political impacts, could be an effective way to promote diversity in ML/AI.","Barretto, Daphne and LaChance, Julienne and Burton, Emanuelle and Liao, Soohyun Nam","diversity, machine learning, underrepresented students, race and ethnicity, artificial intelligence",10.1145/3430665.3456332,2021,7
inproceedings,Disparate Impact of Artificial Intelligence Bias in Ridehailing Economy's Price Discrimination Algorithms,"Ridehailing applications that collect mobility data from individuals to inform smart city planning predict each trip's fare pricing with automated algorithms that rely on artificial intelligence (AI). This type of AI algorithm, namely a price discrimination algorithm, is widely used in the industry's black box systems for dynamic individualized pricing. Lacking transparency, studying such AI systems for fairness and disparate impact has not been possible without access to data used in generating the outcomes of price discrimination algorithms. Recently, in an effort to enhance transparency in city planning, the city of Chicago regulation mandated that transportation providers publish anonymized data on ridehailing. As a result, we present the first large-scale measurement of the disparate impact of price discrimination algorithms used by ridehailing applications.The application of random effects models from the meta-analysis literature combines the city-level effects of AI bias on fare pricing from census tract attributes, aggregated from the American Community Survey. An analysis of 100 million ridehailing samples from the city of Chicago indicates a significant disparate impact in fare pricing of neighborhoods due to AI bias learned from ridehailing utilization patterns associated with demographic attributes. Neighborhoods with larger non-white populations, higher poverty levels, younger residents, and high education levels are significantly associated with higher fare prices, with combined effect sizes, measured in Cohen's d, of -0.32, -0.28, 0.69, and 0.24 for each demographic, respectively. Further, our methods hold promise for identifying and addressing the sources of disparate impact in AI algorithms learning from datasets that contain U.S. geolocations.","Pandey, Akshat and Caliskan, Aylin","geolocation, prediction, disparate impact, AI ethics, algorithmic bias, price discrimination",10.1145/3461702.3462561,2021,12
inproceedings,Feasibility Study of Launching Mobile-Based Postgraduate Research Products Based on Artificial Intelligence,"As people's enthusiasm for postgraduate entrance examinations has increased, mobile postgraduate entrance examination products have become increasingly important in the product market. By collecting the prices of domestic postgraduate entrance examination products from 2016 to 2017, a polynomial fitting curve mathematical model is established to predict mobile postgraduate entrance examinations. The purpose of the product price change trend. Aiming at the potential market share and development trend of the mobile end-of-study product, a Markov chain prediction method model and multivariate fitting are combined with genetic algorithms to perform intelligent prediction, and the contribution of each indicator is allocated according to the weight to obtain The relative importance of the indicators completes the possibility of launching a mobile end-of-year research product. The study also found that in different cities, the mobile terminal's feasibility is the same in different cities, and the model can indeed solve relatively many different universities. The city fully considers the characteristics of economic, social conditions and postgraduate education, and evaluates the possibility of launching mobile terminal postgraduate research products through computer artificial intelligence algorithm models.","Jian, Zeng and Silu, Xu and Xijing, Lu",,10.1145/3469213.3470314,2021,8
inproceedings,An Artificial Intelligence Method for Digital Government Assessment: An Application of Neural Networks Analysis of a Ranking of Digital Government of Mexican States,"Development of accurate measurement systems to assess digital government advance is a critical topic of digital agenda of academia and governments around the world. There are several quantitative approaches such as rankings and indicators that have contributed to measure the progress of digital government initiatives in the public sector, but more sophisticated computational tools are usually unexploited. This article proposes a computational multi-parametric analysis of multiple metrics of digital government advance using a computational technique, the neural networks, for the analysis of the evolution of digital government ranking of Mexican states during the period 2009-2015. Neural networks analysis has been used in different areas such as scientometric performance profiles, and disciplines like physics, chemistry, management, economics and demography. The neural networks analysis helps to identify clusters of characterizations that represents digital government advance patterns of performance. It also locates various profiles of digital government progress with similar patterns of performance and atypical behaviors (outliers) which are difficult to identify with classical tools. The results of this computational technique are robust showing that artificial intelligence tools are useful instruments to evaluate digital government advance overtime.","Villase\~{n}or-Garc\'{\i}a, E. A. and Puron-Cid, G.","Assessment, Neural networks, Measurement, Digital government",10.1145/3085228.3085311,2017,9
inproceedings,A Preliminary Study on the Application of Artificial Intelligence Technology in Meteorological Education and Training*,"This paper reviews the three stages of the application of artificial intelligence technology in meteorological field, and expounds the application status of AI technology in meteorological business and meteorological services. By analyzing the impact and influence of AI technology on training content and training method in meteorological education and training field, this paper explores the future application of AI technology in meteorological education and training field. In this paper, a three-level meteorological AI training framework is initially constructed, and the intelligent upgrade of the existing meteorological distance education training platform and the construction of the meteorological big data analysis and AI training experimental platform are considered and prospected.","Zou, Liyao and Wang, Qingxu and Zhao, Peng","Meteorological Education and Training, Artificial Intelligence Technology, Meteorological Application",10.1145/3358695.3360939,2019,6
inproceedings,An Analysis of Artificial Intelligence Techniques in Multiplayer Online Battle Arena Game Environments,"The 3D computer gaming industry is constantly exploring new avenues for creating immersive and engaging environments. One avenue being explored is autonomous control of the behaviour of non-player characters (NPC). This paper reviews and compares existing artificial intelligence (AI) techniques for controlling the behaviour of non-human characters in Multiplayer Online Battle Arena (MOBA) game environments. Two techniques, the fuzzy state machine (FuSM) and the emotional behaviour tree (EBT), were reviewed and compared. In addition, an alternate and simple mechanism to incorporate emotion in a behaviour tree is proposed and tested. Initial tests of the mechanism show that it is a viable and promising mechanism for effectively tracking the emotional state of an NPC and for incorporating emotion in NPC decision making.","Waltham, Michael and Moodley, Deshen","MOBA, Artificial Intelligence, 3D Games",10.1145/2987491.2987513,2016,7
inproceedings,"Artificial Intelligence Technology in the Video Production of the Course ""Horse Anatomy and Physiology""","With the development of artificial intelligence technology, robots and artificial intelligence have become a new trend in the development of future technologies. This article mainly studies the application of artificial intelligence technology in the video production of the course ""Horse Anatomy and Physiology"". The questionnaire is mainly distributed on the spot. In order to further investigate students’ views on the application of artificial intelligence technology in the video production of the ""Horse Anatomy and Physiology"" course, the corresponding interview outline is designed, mainly from ""students' understanding of this course"" and ""students' acceptance of the course content"" Interviews and exchanges from multiple aspects and perspectives such as ""students' teaching methods for courses"". And take notes, according to the feedback from the students, make corresponding adjustments to the content and teaching methods of the course. Regarding extended resources, on the whole, 72.5% of learners participated in the learning of extended resources, and 81.2% of learners hope to obtain some knowledge that is not in the book through extended resources, but only 32.5% of learners think that the extension in the course resources are helpful to learning. It can be seen that the course needs to be improved in terms of expanding resources. The resources should be enriched and novel to meet the needs of learners. The results show that artificial intelligence technology has a certain promoting effect on the engineering of ""Horse Anatomy and Physiology"" course video production.","Zhang, Shuang and Liu, Mairu",,10.1145/3495018.3501179,2022,4
inproceedings,An Artificial Intelligence-Based Model-Driven Approach for Exposing off-Nominal Behaviors,"With an increase in the automation of cyber-physical systems (e.g., automated vehicles and robots), quality problems such as off-nominal behaviors (ONBs) have also increased. While there are techniques that can find ONBs at the requirements engineering stage as it reduces the cost of addressing defects early in development, they do not meet the current industrial needs and often ignore functional safety. These techniques suffer from limitations such as scalability, need for significant human effort and inability to detect overlooked or unknown ONBs. To address these limitations we need a technique that analyzes requirements with respect to functional safety, but with less human effort. To achieve this, we propose our artificial intelligence-based model-driven methodology that provides a means to find ONBs during requirements engineering with minimal human effort. Our methodology utilizes existing approaches such as causal component model (CCM) and systems theoretic process analysis (STPA). We describe the details of each step of our approach and how our approach would support finding ONBs. Using our research and the results of our studies, we intend to provide empirical evidence that considering ONBs during requirements engineering stage and analyzing requirements with respect to functional safety can help create more robust designs and higher-quality products.","Madala, Kaushik",,10.1109/ICSE-Companion.2019.00085,2019,4
inproceedings,Research on the Application of Computer Big Data Algorithms in Artificial Intelligence Technology,"The paper takes the realization process of an artificial intelligence speech recognition system that can recognize numbers 0-9 as an example, and elaborates the basic principles and key technologies of isolated words speech recognition for specific people based on DTW big data algorithm. It includes a detailed discussion on the voice endpoint detection method, the characteristic parameter calculation method and the realization of the DTW big data algorithm. Finally, the programming method and experimental results under MATLAB are given.","Liu, Hongying","Speech recognition, DTW big data algorithm, endpoint detection, MFCC coefficient",10.1145/3448734.3450881,2021,6
inproceedings,Modelling Mobile Signal Strength by Combining Geospatial Big Data and Artificial Intelligence,"Estimating mobile signal strength accurately is a crucial task for network providers and their customers. However, current methodologies to estimate mobile signal strength present limitations in their practical implementation (i.e. physical based models), portability (i.e. spatial interpolation methods), simplicity and accuracy (i.e. path loss models). In this paper we present a novel approach that takes advantage of geospatial Big Data and advanced Artificial Intelligence to predict mobile signal strength at scale. Particularly, we used open access geo-spatial information about weather, tree coverage, land use, imperviousness, altitude and network infrastructure (i.e. a total of 174 features) to train and test uncertainty-aware artificial neural networks to predict mobile signal strength on data from the NetBravo crowdsourcing platform across all the United Kingdom (UK). Our model scored a best performance of 7.9 (standard deviation of 0.2) dBm for Root Mean Squared Error and 5.7 (standard deviation of 0.4) dBm for the Mean Absolute Error. Feature importance analysis showed that mobile cell tower characteristics and geospatial features showing the distribution of imperviousness and tree cover density over the line of sight between the mobile cell tower and the receiver as well as relative humidity were among the top 20 most important features.","Fraccaro, Paolo and Benatan, Matt and Reusch, Katharina and Fare, Clyde and Edwards, Blair and Pyzer-Knapp, Edward","Mobile Signal Strength, Geospatial, Big Data, Artificial Neural Networks Learning",10.1145/3448823.3448879,2021,5
article,"A Multi-Disciplinary Perspective for Conducting Artificial Intelligence-Enabled Privacy Analytics: Connecting Data, Algorithms, and Systems","Events such as Facebook-Cambridge Analytica scandal and data aggregation efforts by technology providers have illustrated how fragile modern society is to privacy violations. Internationally recognized entities such as the National Science Foundation (NSF) have indicated that Artificial Intelligence (AI)-enabled models, artifacts, and systems can efficiently and effectively sift through large quantities of data from legal documents, social media, Dark Web sites, and other sources to curb privacy violations. Yet considerable efforts are still required for understanding prevailing data sources, systematically developing AI-enabled privacy analytics to tackle emerging challenges, and deploying systems to address critical privacy needs. To this end, we provide an overview of prevailing data sources that can support AI-enabled privacy analytics; a multi-disciplinary research framework that connects data, algorithms, and systems to tackle emerging AI-enabled privacy analytics challenges such as entity resolution, privacy assistance systems, privacy risk modeling, and more; a summary of selected funding sources to support high-impact privacy analytics research; and an overview of prevailing conference and journal venues that can be leveraged to share and archive privacy analytics research. We conclude this paper with an introduction of the papers included in this special issue.","Samtani, Sagar and Kantarcioglu, Murat and Chen, Hsinchun","analytics, artificial intelligence, data, systems, theories, Privacy",10.1145/3447507,2021,18
inproceedings,The Value Orientation of Teachers' Role in Artificial Intelligence Teaching Environment Based on Information Technology,"The development of artificial intelligence provides opportunities and basic conditions for the development of education and teaching reform and innovation. Under the background of ""artificial intelligence + education"", the teaching ideas, models, and methods of schools at all levels and types have undergone changes in varying degrees. In this context, although artificial intelligence cannot completely replace teachers in education and teaching, it has largely caused changes in the role of teachers. This article uses research methods literature and logical analysis. Schools at all levels and types need to further realize the role of teachers according to the actual needs of teaching, so as to effectively play teachers as students' learning guides, implementers of personality education, and innovation in educational theory the value and role of the people, etc., efficiently promote the development of education and teaching under the background of ""artificial intelligence + education"".","Wang, Chuanju",,10.1145/3482632.3483059,2021,4
inproceedings,Artificial Intelligence and the Evolution of Global Value Chains in the Context of Intelligent Manufacturing,"Abstract. With the accelerated integration of artificial intelligence technology in the intelligent manufacturing process and the international production division networks, its impact on the evolution of the global value chain needs further in-depth study. This paper examines the effects, heterogeneity and mechanism of the artificial intelligence on the dynamic evolution of global value chains. The study found that the development of artificial intelligence is conducive to promoting the upgrading of the division of labor in the global value chain, and the robustness test also confirms this finding. This role is more prominent in the samples of developed economies. Furthermore, artificial intelligence technology can promote the global value chain by improving the human capital accumulation and strengthening innovation capabilities. In the context of new infrastructure construction and digital economy transformation, this article provides implications for deepening the integration of innovation chain and industrial chain, and promoting high-quality development with the new generation of information technologies.","Liu, Sheng and Chen, Xiuying and Chen, Yiting","innovation ability, human capital, Keywords. artificial intelligence, global value chains, intelligent manufacturing",10.1145/3512826.3512833,2022,5
inproceedings,Transformative Process of Redefining Language Curriculum Post Pandemic Covid-19 in Higher Education,"The world of education has experienced very rapid development and devised a prioritized strategy in a disruptive era. This development is marked by the emergence of adaptive literacy in education. In this vein, it involved three important literacies, namely data literacy, technology literacy, and human literacy. Arguably, the development of education was also accompanied by the use of these three literacies in response to the Covid-19 and post-pandemic era. In this case, education undergoes an extensive transformation process to fulfil the learning process, especially learning English at the university level. Technically, this process involves a series of online learning activities and the use of appropriate technology to achieve the provision of skills, leadership, and social concerns. The reasons are related to communication skills, both oral and written, that enable the graduates to meet international professional standards by integrating literacy excellence. In this background, the research aims to describe the transformative process of the refining language curriculum that excels in the industry. This research uses mix-method. Besides, the respondents involve active BINUS University students who are contributively exposed by the industrial and entrepreneurial world. Data will be analyzed qualitatively. The preliminary result describes a process of redefining the curriculum of English learning that encompassed the utilization of technology and essential aspects of technology selection is more in line with the literacy era in the industrial revolution 4.0. Furthermore, this research will lead to curriculum alteration that is matched with the future industry needs eventually.","Oktriono, Kristianus and Revani Putri, Marisca and Sidupa, Christiana and Nugroho Willyarto, Mario","Curriculum, industrial revolution 4.0, higher education, online learning, language, transformative",10.1145/3446590.3446601,2021,6
inproceedings,Changes and Challenges: A Study on the Application of Artificial Intelligence Technology in College English Teaching,"The artificial intelligence technology has experienced a relative long-time development and exerted a great influence in the fields of data, communication and computing. It is not only the inevitable trend of future education development but also the internal demand of education to take advantage of artificial skills and technology in education. College English teaching is also facing changes and challenges under this condition. On the one hand, artificial intelligence technology promotes the realization of personalized and precise education. On the other hand, there still appear many problems when artificial intelligence technology are taken use of in teaching. Schools, teachers and students are expected to make joint efforts to explore a scientific and reasonable model to put artificial intelligence into college English teaching practice.","Wang, Dan",,10.1145/3482632.3483151,2021,5
inproceedings,A Systematic Assessment of National Artificial Intelligence Policies: Perspectives from the Nordics and Beyond,"Echoing the evolving interest and impact of artificial intelligence on society, governments are increasingly looking for ways to strategically position themselves as both innovators and regulators in this new domain. One of the most explicit and accessible ways in which governments outline these plans is through national strategy and policy documents. We follow a systematic search strategy to identify national AI policy documents across twenty-five countries. Through an analysis of these documents, including topic modelling, clustering, and reverse topic-search, we provide an overview of the topics discussed in national AI policies and contrast the differences between countries. Furthermore, we analyse the frequency of eleven ethical principles across our corpus. Our paper outlines implications of the differences between geographical and cultural clusters in relation to the future development of artificial intelligence applications.","van Berkel, Niels and Papachristos, Eleftherios and Giachanou, Anastasia and Hosio, Simo and Skov, Mikael B.","ethics, topic modelling, Artificial Intelligence, strategy, AI, policy, national guidelines",10.1145/3419249.3420106,2020,12
inproceedings,Identification of Characteristics and Functionalities for the Design of an Academic Analytics Model for Higher Education,"The presence of digital technologies in society is indisputable, it has impacted and transformed the lives of citizens. Higher education institutions are not left out of this transformation. The value of knowledge as a fundamental asset of the Knowledge Society is decisive. Its management is imposed as a competitive advantage. Part of the institutional resources must be dedicated to developing capacities to share, create and apply new knowledge continuously over time. Technological ecosystems, considered as the evolution of traditional information systems, are positioned as knowledge management systems that encompass both the technological component and the human factor. The application of techniques for educational data analysis, such as learning analytics, academic analytics, and educational data mining, are beginning to be positioned as appropriate strategies to optimize decision-making in higher education. It is interesting to wonder if universities are aware of these technological developments and, furthermore, if they are interested and prepared to incorporate them. The objective of the research is to investigate how, based on the capabilities of academic analytics for the improvement of the management of higher education, characteristics and functionalities can be defined that an applicable model should include in university institutions, particularly in Argentine.","Santos, Alejandra Carina and Iglesias Rodr\'{\i}guez, Ana and Pinto-Llorente, Ana Mar\'{\i}a","Educational data analysis, technological ecosystems, academic analytics, educational data mining, higher education, learning analytics",10.1145/3434780.3436578,2021,7
inproceedings,Machinery Fault Diagnosis Using Continuous Wavelet Transform and Artificial Intelligence Based Classification,"This work presents an investigation for a number of mechanical conditions (healthy, imbalance, misalignment, gear fault, bearing fault). The vibration conditions are simulated and based on real-time vibration data that are acquired from a Machinery Fault Simulator (MFS). The diagnosis process passes through two main stages after the data acquisition, where then the Continuous Wavelet Transform (CWT) method is applied to preprocess the obtained datasets (signals), and extract the features based on five statistical parameters namely: RMS, Kurtosis, Peak, Impulse Factor and Shape Factor. Then Artificial Intelligence (AI) based classification is applied using the Multilayer&nbsp;Feed-Forward&nbsp;Perceptron&nbsp;Neural Network (MLP) using different cases, where different number of neurons for the hidden layer and two different datasets of the input features with 250 features for each condition and also 2000 features for each condition once with normalized and also with non-normalized features to investigate the best cases for the performance classification in terms of neurons and features number, and also the impact of features normalization. The obtained results based on the classification performance using MLP-NN with the different cases are comparable, where the normalized features with less number of features and moderate neurons have shown better classification performance. Moreover, the results have shown the advantage of integrating CWT with the MLP-NN by providing significant classification rates for the different mechanical conditions.","Al Tobi, Maamar Ali Saud and K p, Ramachandran and Al-Araimi, Saleh and Pacturan, Rene and Rajakannu, Amuthakkannan and Achuthan, Geetha","Machinery Fault Simulator (MFS), Multilayer Perceptron Neural Network (MLP-NN), Continuous Wavelet Transform (CWT)",10.1145/3560453.3560463,2022,9
inproceedings,Innovation and Breakthrough of Teaching in Primary and Secondary Schools Based on Computer Artificial Intelligence,"The outbreak of COVID-19 has accelerated the development of artificial intelligence and promoted the method of online teaching. In the post-pandemic era, modern information technology and teaching represented by artificial intelligence are increasingly converging, and they are also facing increasing difficulties and challenges. For example, the educational concept lags behind the technology development, the information literacy of teachers and students needs to be improved, and the humanistic emotional exchange in the information-based classroom is not enough. Primary and secondary school teachers need to constantly update the concept of information education, strengthen the awareness of learning and application of artificial intelligence, adhere to the belief that computer information technology serves people, improve their ability to apply information technology to innovative teaching, and focus on classroom innovation and reform.","Gao, Qiaoping and Xia, Guoxiang and Ji, Hongwei","Post-pandemic era, Educational informatization, Primary and secondary school teaching, Dilemma, Reform approach",10.1145/3551708.3556218,2022,8
inproceedings,A Novel Energy Optimization Approach for Artificial Intelligence-Enabled Massive Internet of Things,"Emerging trends in Internet of things (IoT) has caught the attention of every domain e.g., industrial, business, and healthcare etc. Sensor-embedded IoT devices are the key drivers for collecting large amount of data. Managing these large datasets is one of the critical challenges to be tackled. Continuous huge information collection through sensor-enabled devices is known as the massive IoT (mIoT). Thus, there is a need of self-adaptive artificial intelligence (AI)-based strategies to effectively cluster, examine and interpret the entire entities in the system. With increased data volumes and power hungry natured IoT devices it is a dire need to manage their power wisely. To fairly allot the power levels to the tiny portable devices it is important to integrate mIoT with AI-based techniques. To remedy these issues this paper proposes a novel cross-layer based energy optimization algorithm (CEOA) in mIoT system by examining the detailed features and data patterns. Experimental analysis reveals that proposed CEOA outperforms its competing counterpart i.e., Baseline in terms of efficient power management and monitoring.","Sodhro, Ali Hassan and Obaidat, Mohammad S. and Pirbhulal, Sandeep and Sodhro, Gul Hassan and Zahid, Noman and Rawat, Abhimanyu","performance evaluation, energy optimization, AI, CEOA, massive IoT",,2019,6
inproceedings,Analysis on the Human Development Path of Vocational Education in the Era of Artificial Intelligence,"At present, under the background of multiple national policies, the demand for intelligent development talents in the manufacturing industry is particularly tight based on the company's own cost-driven and the demand-driven technology in related fields; intelligent innovative talents are cultivated through the linkage of enterprises and schools, and application-oriented talents are exported. Has become a new trend. Through the analysis of the structural reform of vocational education, teachers’ concepts, methods, models and teaching environment and content are adjusted accordingly to enable teachers to find problems in teaching, update teachers’ concepts on the development of teaching ability, improve curriculum development, and build a stable profession , To build a content system that adapts to the development of vocational teachers' teaching ability in the era of artificial intelligence, and better promote talent training.","Mou, Jing","Educational Reform, Problems and Opportunities, Development Suggestions, Vocational Education Background, Artificial Intelligence",10.1145/3505711.3505730,2022,4
inproceedings,Research on the Influence of Interpretability of Artificial Intelligence Recommendation System on Users' Behavior Intention,"The complexity and unexplainability of the artificial intelligence recommendation system make it difficult for ordinary users to understand its operating principle, often triggering two extreme emotions-extreme distrust and excessive trust. Therefore, it is very important to find out the factors that influence the behavior intentions of users in the artificial intelligence recommendation system and examine its effectiveness through empirical research. Taking technology acceptance theory as the research framework, and considering procedural fairness and system interpretability, this paper develops the usage intention model of artificial intelligence recommendation system, and carries out empirical research with the AMOS software. The empirical results show that the interpretability of the artificial intelligence recommendation system has a significant positive impact on user trust, usefulness, and ease of use; and procedural fairness has significant effect on trust and usefulness. The research results are helpful to further understand the impact of procedural fairness and interpretability on system usefulness and user behavior of artificial intelligence recommendation system, and offer guidance for further improvement of artificial intelligence recommendation system.","Wang, GaoShan and Liu, XiQuan and Wang, ZhongGuo and Yang, XueLan","artificial intelligence, behavioral intention, interpretability, procedural fairness, technology acceptance",10.1145/3443467.3443850,2021,5
inproceedings,Rethinking on the Teaching Method of Programming Course in Applied Universities Under Higher Education,"The teaching method is the unity of the teaching method and the learning method. In the applied college education, more emphasis is placed on the self-learning method of the students. The most direct way to respect students is to change the teaching methods of teachers so that students learn to learn and work in the process of receiving knowledge, so that they can be confident, act and be able to learn actively. Establish a student-centered learning model, with the cultivation of professional abilities as an important goal, change the role of teachers, return the stage of learning to students, let students do and study, and truly allow students to cultivate all aspects of comprehensive capabilities in the process. This article is based on the computer professional programming course ""programming language I"" as an example to rethink the teaching method. The difference between the new teaching method and the traditional teaching method is elaborated in detail from two aspects: classroom theory teaching and experimental practice teaching and the feasibility of the new teaching method are discussed from multiple angles. The new teaching method can fully arouse the enthusiasm of teachers 'teaching and students' learning, and realize deep learning of knowledge through experimental courses. At the same time, the new teaching methods have played a positive role in fostering students' learning initiative, teamwork spirit, language expression ability, problem analysis and problem solving skills. Under the new teaching method, the student group cultivated can better meet the current society's demand for talents.","Zhou, Yanling and Gu, Man and Zhang, Chi","Programming course, experimental teaching, active learning, classroom teaching, collaborative group",10.1145/3425329.3425348,2020,6
inproceedings,Efficiency Enhancement and Mode Change of Intelligent Media Communication under the Interaction of Artificial Intelligence Technology,"The development of artificial intelligence in the fields of machine learning and deep learning has made it possible to use artificial intelligence technology in human information production and dissemination activities. At present, artificial intelligence has also made a series of achievements in artificial intelligence media, natural language processing and interpretation, human-computer interaction, visual language processing, etc., which are closely related to the field of information production and dissemination, providing an expandable boundary for the intelligent development of media and intelligent media dissemination. Therefore, in this paper, the efficiency enhancement of intelligent media communication and the transformation of communication mode under the progress of artificial intelligence technology are discussed and analyzed, and the conclusion is drawn that the development of intelligent media has become an inevitable trend.","Zhao, Lili","efficiency enhancement, transformation, Artificial intelligence, intelligent media communication",10.1145/3545822.3545834,2022,6
inproceedings,Research on the Development and Perfection of Higher Education Management Based on Internet and Information Technology,"The era with the arrival of big data has taken new requirements and directions for the management of higher education, they are reflected in the following some aspects: keeping up with the market orientation in the management system, realizing independent innovation in the management concept, and realizing high efficiency and transparency in the management mode. However, there are still problems for the quality management of higher education institutions, which need to be improved from the following paths: building smart campus to realize intelligent teaching and management; using data analysis to realize diversified development of classroom; and the big data innovation technology could be used to enrich teaching management; improving information system to strengthen data management.","Wu, Rongying and Zhang, Moqing",,10.1145/3482632.3483056,2021,5
inproceedings,A Review of Artificial Intelligence Techniques Used for Urban Automatic Incident Detection Systems,"Over the past decades, tremendous research efforts have been proposed to deploy Automatic Incident Detection Systems (AIDSs) onto urban roads. As a result, new challenges to the research community have been introduced to enhance the AIDS performances. To overcome these challenges, and to improve the efficiency and safety of road traffic, attention has been drawn to use Artificial Intelligence (AI) techniques as a solution. However, choosing appropriate AI technologies to process real-time traffic data is an area that needs spotlighting. The aim of this paper is to discuss recent advancements in urban AIDSs based on AI techniques. We carried out a review for twelve previous AIDS study proposed since 2009. We compared these AIDSs in term of traffic data sources, input variables, and type of incident. Also, a comparison of simulators, techniques and the evaluation metrics has been used. The results indicated that hybrid AI techniques reported the best detection performances. In this context, fixed or fusion data sources were also given good results compared to others. This review shows reliable results of AI classification techniques applied in AIDS approaches. This finding urges to continue improve the performances of the proposed AI techniques. In future research, testing others AI techniques with smart technologies may increase the incident detection efficiency.","Samia, Hireche and Abdeslem, Dennai","inductive loop detectors, Urban automatic incident detection, floating car data, artificial intelligence",10.1145/3384544.3384557,2020,6
inproceedings,The Relationship of Higher Education Access with Final Marks in a Core Chemical Engineering Topic,"This present work cracks to understand the relationship between final marks in a topic with competences that are core of Chemical Engineering and students’ access grades to a Portuguese Higher Education Institution (HEI). The study is based on data gathered through a questionnaire concerning students’ perceptions about assessment and teaching-learning methodologies in four academic years (2016-2017 to 2019-2020). The student´s access grades were included in the questionnaire since 2018-19 academic year allowing to establish a relationship with the final marks obtained in a core Chemical Engineering Topic, Fluid Mechanics. From the analysis made, it can be said that students who obtained higher access grades to HEI may have also a higher Chemical Engineering curricular unit final mark, although the low linear relationship obtained (r =0.45) for the year 2019-20.","Sena-Esteves, M. Teresa and Morais, Cristina and Ribeiro, Margarida and Pereira, Isabel Br\'{a}s and Guedes, Anabela and Soares, Filomena and Le\~{a}o, Celina P.","Students Perceptions, Assessment, Engineering Education, Fluid Mechanics Competences",10.1145/3434780.3436667,2021,7
